Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Engine Size Clean,Engine Size Category,Horsepower (HP) Clean,Power Category,Price (in USD),Seats Clean,Efficiency Category,Price per HP,Price per Seat,Price per Engine Size,Price per Efficiency,Brand Type,Price per Brand Type HP,Price per Brand Type Engine Size
FERRARI,SF90 STRADALE,V8,3990 cc,963 hp,340 km/h,2.5 sec,"$1,100,000 ",plug in hyrbrid,2,800 Nm,3990.0,Extra Large,963,Very High Power,1100000.0,2,Alta,1142.2637590861889,550000.0,275.6892230576441,366666.6666666667,Luxury,380.754586362063,91.89640768588137
Ford,KA+,1.2L Petrol,"1,200 cc",70-85 hp,165 km/h,10.5 sec,"$12,000-$15,000",Petrol,5,100 - 140 Nm,1200.0,Medium,77,Low Power,12000.0,5,Media,155.84415584415584,2400.0,10.0,6000.0,Mainstream,155.84415584415584,10.0
AUDI,AUDI R8 Gt,V10,"5,204 cc",602 hp,320 km/h,3.6 sec,"$253,290 ",Petrol,2,560 Nm,5204.0,Extra Large,602,Very High Power,253290.0,2,Media,420.74750830564784,126645.0,48.67217524980784,126645.0,Premium,210.37375415282392,24.33608762490392
BMW,Mclaren 720s,V8,"3,994 cc",710 hp,341 km/h,2.9 sec,"$499,000 ",Petrol,2,770 Nm,3994.0,Extra Large,710,Very High Power,499000.0,2,Alta,702.8169014084507,249500.0,124.93740610916375,166333.33333333334,Premium,351.40845070422534,62.46870305458187
ASTON MARTIN,VANTAGE F1,V8,"3,982 cc",656 hp,314 km/h,3.6 sec,"$193,440 ",Petrol,2,685 Nm,3982.0,Extra Large,656,Very High Power,193440.0,2,Alta,294.8780487804878,96720.0,48.57860371672526,64480.0,Luxury,98.29268292682927,16.19286790557509
LAMBORGHINI,VENENO ROADSTER,V12,"6,498 cc",750 hp,356 km/h,2.9 sec,"$4,500,000 ",Petrol,2,690 Nm,6498.0,Extra Large,750,Very High Power,4500000.0,2,Media,6000.0,2250000.0,692.5207756232687,2250000.0,Luxury,2000.0,230.84025854108955
FERRARI,F8 TRIBUTO,V8,"3,900 cc",710 hp,340 km/h,2.9 sec,"$280,000 ",Petrol,2,770 Nm,3900.0,Extra Large,710,Very High Power,280000.0,2,Alta,394.36619718309856,140000.0,71.7948717948718,93333.33333333333,Luxury,131.45539906103286,23.931623931623932
FERRARI,812 GTS,V12,6496 cc,789 hp,340 km/h,2.9 sec,"$350,000 ",Petrol,2,718 Nm,6496.0,Extra Large,789,Very High Power,350000.0,2,Media,443.59949302915084,175000.0,53.87931034482759,175000.0,Luxury,147.8664976763836,17.95977011494253
FERRARI,PORTOFINO,V8,"3,900 cc",592 hp,320 km/h,3.2 sec,"$210,000 ",Petrol,2+2,760 Nm,3900.0,Extra Large,592,Very High Power,210000.0,2,Alta,354.72972972972974,105000.0,53.84615384615385,70000.0,Luxury,118.24324324324324,17.94871794871795
FERRARI,ROMA,V8,"3,900 cc",612 hp,320 km/h,3.4 sec,"$230,000 ",Petrol,2+2,760 Nm,3900.0,Extra Large,612,Very High Power,230000.0,2,Alta,375.8169934640523,115000.0,58.97435897435897,76666.66666666667,Luxury,125.2723311546841,19.65811965811966
